id,latitude,longitude,name,city,country
5726,40.7832,-91.1255,Southeast Iowa Regional Airport,Burlington,United States
5727,41.7802,-124.237,Del Norte County Airport,Crescent City,United States
5728,37.2253,-89.5708,Cape Girardeau Regional Airport,Cape Girardeau,United States
5729,46.2508,-84.4724,Chippewa County International Airport,Sault Ste Marie,United States
5730,39.2966,-80.2281,Harrison Marion Regional Airport,Clarksburg,United States
5731,48.1202,-123.5,William R Fairchild International Airport,Port Angeles,United States
5732,47.1684,-88.4891,Houghton County Memorial Airport,Hancock,United States
5733,37.7634,-99.9656,Dodge City Regional Airport,Dodge City,United States
5734,41.1783,-78.8987,DuBois Regional Airport,Du Bois,United States
5735,44.8658,-91.4843,Chippewa Valley Regional Airport,Eau Claire,United States
5736,40.8249,-115.792,Elko Regional Airport,Elko,United States
5737,41.6761,-70.9569,New Bedford Regional Airport,New Bedford,United States
5738,34.9912,-78.8803,Fayetteville Regional Grannis Field,Fayetteville,United States
5739,48.2125,-106.615,Wokal Field Glasgow International Airport,Glasgow,United States
5740,40.9675,-98.3096,Central Nebraska Regional Airport,Grand Island,United States
